Target Source,RA,DEC,Phase Cal,VLA Class,Alternative Cal,"Flux [L,C,X,K or Ku]","Structure [L,C,X,K or Ku]",Cal L,FLux Cal L,Cal C,FLux Cal C,Cal X,FLux Cal X,Cal K or Ku,FLux Cal K or Ku,Structure
MCG +12-02-001,00 54 04.07,+73 05 05.1,J0054+7053,B,J0217+7349,"2.27,2.3,2.18,2.1","P,P,P,P",J0217+7349,2.27,J0217+7349,2.3,J0217+7349,2.18,J0217+7349,2.1,"P,P,P,P"
CGCG 436-030,01 20 02.63,+14 21 42.5,J0121+1149,A,J0203+1134,"1.0,0.96,0.76,0.5","P,P,P,S",,,,,,,,,
III Zw 035,01 44 30.54,+17 06 08.6,J0139+1753,B,J0203+1134,"1.0,0.96,0.76,0.5","P,P,P,S",,,,,,,,,
NGC 0695,01 51 14.36,+22 34 53.6,J0152+2207,A,J0152+2207,"1.07,1.43,1.08,1.3","S,P,P,S",,,,,,,,,
MCG +05-06-036,02 23 21.97,+32 11 48.9,J0220+3241,B,J0237+2848,"2.4,2.3,4.65,2.5","S,P,P,P",,,,,,,,,
UGC 02369,02 54 01.81,+14 58 14.9,J0238+1636,A,J0238+1636,"1.26,1.73,1.3,3.3","P,P,P,P",,,,,,,,,
IRAS 03359+1523,03 38 47.10,+15 32 53.4,J0344+1559,A,J0321+1221,"1.74,1.1,1.18,0.75","P,P,P,S",,,,,,,,,
VII Zw 031,05 16 46.43,+79 40 13.0,J0543+8238,B,J0410+7656,"5.76,2.79,2.21,1.11","P,P,P,S",J0410+7656,5.76,J0410+7656,2.79,J0410+7656,2.21,J0410+7656,1.11,"P,P,P,S"
IRAS 05223+1908,05 25 16.26,+19 10 45.7,*J0518+2054,A,J0530+1331,"1.67,4.3,2.48,3.2","S,P,P,P",,,,,,,,,
MCG +08-11-002,05 40 43.53,+49 41 42.6,*J0536+5038,A,J0555+3948,"1.7,5.0,6.2,2.8","P,P,P,P",,,,,,,,,
NGC 2623,08 38 24.08,+25 45 16.6,J0837+2454,A,J0854+2006,"1.1,2.3,2.4,3.05","P,P,P,P",J0854+2006,1.1,J0854+2006,2.3,J0854+2006,2.4,J0854+2006,3.05,"P,P,P,P"
IRAS F08572+3915,09 00 25.37,+39 03 54.1,J0900+4108/J0903+518,B,J0818+4222,"1.5,1.8,1.4,1.8","P,P,P,S",,,,,,,,,
UGC 04881,09 15 55.52,+44 19 58.0,J0920+4441,A,J0920+4441,"0.7,1.0,1.18,1.5","S,P,P,P",,,,,,,,,
UGC 05101,09 35 51.60,+61 21 11.8,J0921+6215,A,J0921+6215,"1.2,1.2,1.6,1.2","P,P,P,P",J0921+6215,1.2,J0921+6215,1.2,J0921+6215,1.65,J0921+6215,1.2,"P,P,P,P"
IRAS F10173+0828,10 20 00.21,+08 13 33.9,J1018+0530,A,J1058+0133,"3.0,3.2,3.75,4.0","S,P,P,P",,,,,,,,,
IRAS 10565+2448,10 59 18.14,+24 32 34.4,J1102+2757,A,J1125+2610,"1.0,1.0,1.42,0.7","P,P,P,S",,,,,,,,,
MCG +07-23-019,11 03 53.97,+40 51 00,J1104+3812,A,J1146+3958,"1.1,1.3,1.2,1.6","P,P,P,P",,,,,,,,,
IC 2810,11 25 45.09,+14 40 35.9,J1118+1234,A,J1150+2417,"0.7,0.8,0.78,0.7","S,P,P,S",,,,,,,,,
NGC 3690/IC 694,11 28 32.50,+58 33 45.00,J1128+5925,A,J1035+5628,"1.85,1.22,0.8,0,4","P,P,S,S",,,,,,,,,
UGC 08058,12 56 14.24,+56 52 25.1,J1302+5748,A,J1219+4829,"0.9,0.8,0.82,0.52","P,P,P,S",,,,,,,,,
VV 250a,13 15 34.96,+62 07 28.8,J1302+5748,A,J1419+5423,"0.7,1.1,1.28,1.2","S,P,P,P",J1400+6210,4.4,J1400+6210,1.72,J1335+5844,0.67,J1419+5423,1.2,"P,P,P,P"
UGC 08387,13 20 35.32,+34 08 22.3,J1310+3233,A,J1310+3220,"2.1,3.5,4.13,3.24","P,P,P,P",,,,,,,,,
NGC 5256,13 38 17.58,+48 16 36.0,J1329+5009,B,J1419+5423,"0.7,1.1,1.28,1.2","S,P,P,P",J1313+5458,1.31,J1419+5423,1.1,J1419+5423,1.28,J1419+5423,1.2,"P,P,P,P"
UGC 08696,13 44 42.13,+55 53 13.5,J1349+5341,A,,,,,,,,,,,,
VV 340a,14 57 00.63,+24 37 04.2,J1453+2648,A,,,,,,,,,,,,
VV 705,15 18 06.12,+42 44 45.1,J1521+4336,A,,,,J1549+5038,0.7,J1549+5038,0.7,J1549+5038,1.17,J1602+3326,1.4,"P,P,P,P"
IRAS F15250+3608,15 26 59.42,+35 58 37.4,J1522+3144,B,,,,J1602+3326,2.6,J1602+3326,2,J1602+3326,2.05,J1602+3326,1.4,"P,P,P,P"
UGC 09913=ARP220,15 34 57.22,+23 30 11.5,J1532+2344/J1516+1932/1513+236,A/A,,,,,,,,,,,,
NGC 6090,16 11 40.88,+52 27 27.0,J1549+5038,A,J1549+5038,"0.7,0.7,1.17,1.03","P,P,P,S",J1549+5038,0.7,J1549+5038,0.7,J1549+5038,1.17,J1638+5720,1.7,"P,P,P,P"
IRAS F17132+5313,17 14 19.79,+53 10 28.6,J1740+5211,A,J1638+5720,"0.9,1.6,1.55,1.7","S,P,P,P",J1739+4737,1.2,J1658+4737,1.2,J1658+4737,1.15,J1658+4737,1.3,"P,P,P,P"
NGC 6670,18 33 37.75,+59 53 22.9,J1824+5651,A,J1927+6117,"0.7,0.7,0.5,0.6","P,P,P,S",J1927+6117,0.7,J1927+6117,0.7,J1927+6117,0.5,J1806+6949,1.6,"P,P,P,P"
NGC 6786/UGC 11414,19 10 54.29,+73 24 36.4,*J1936+7131,A,,,,,,,,,,,,
IRAS 19542+1110,19 56 35.80,+11 19 05.1,*J1945+0952/ J2031+1219/J1950+0807,A/A,,,,,,,,,,,,
IRAS 20351+2521,20 37 17.67,+25 31 40.2,*J/J2340+2641,/A,,,,,,,,,,,,
CGCG 448-020,20 57 24.37,+17 07 39.2,J2108+1430,B,,,,,,,,,,,,
IRAS 21101+5810,21 11 29.48,+58 23 07.5,*J/2148+611/J2055+6122/J2123+5500,/C/A/B,,,,,,,,,,,,
NGC 7469,23 03 15.61,+08 52 26.0,J2310+1055/J2330+1100/J2327+0940,/A/A,,,,,,,,,,,,
IC 5298,23 16 00.68,+25 33 24.2,J2321+2732,A,,,,,,,,,,,,
NGC 7674,23 27 56.72,+08 46 44.1,J2327+0940,A,,,,,,,,,,,,
IRAS F23365+3604,23 39 01.26,+36 21 08.5,J2330+3348/J2333+3901,A/A,,,,,,,,,,,,
IRAS 23436+5257,23 46 05.51,+53 13 59.5,*J2353+5518/J2355+4950/ J2355+4950,/B/B,,,,,,,,,,,,
MRK 0331,23 51 26.74,+20 35 10.3,J0001+1914/J0010+1724,A/A,,,,,,,,,,,,